,address,quantity,percetages
127,0x2BDF1a698d39A4358e2C162dEacc038FAdb8A9d5,"371,328.499514342660863208",0.0371
128,0xe6F74bDbD5476Ebc8B15FA7Ad34A6fFA3018d01D,"367,006.976398604686607866",0.0367
129,0xF6593971D6b30F7B3fa1Fad45608a6601Eb4372F,"366,588.286946716215493953",0.0367
130,0x427070e33d630B0476BedBA5d53Db224913eB946,"365,824.162268076138537303",0.0366
131,0x2867CDeB13957cBfEc4f1F21D7b07Eea07Dab6F8,"362,852.398752430525826595",0.0363
132,0xB6E724A03cc3fDb581F4480f7678FB8079b63dA4,"362,613.560018170423602392",0.0363
133,0xcBAd6Fc386EC3696562AA674e1FA33d2b41D8a66,"360,134.78292749245105809",0.0360
134,0xE071fDbFF8447715a890C590c0e2A6cBF8E5eD5B,"359,984.590358645334111712",0.0360
135,0x26dc5F2479D4973C8b448a51375Ce27b3eA7B5b1,"354,156.292236955860580407",0.0354
136,0xC04f39444b44716fd98F3782EFaD400Fe2711b3D,"351,973.27703982403827236",0.0352
137,0xF53eE93A774aA44eCb195C206Af4b9c94E7e5bE5,"351,821.008744135017104755",0.0352
138,0xb935580f229916253633cfa7088a2d988E516929,"350,000.00000073430872941",0.0350
139,0x7A180d0B8C50CCAed2524ff2895C8E08be615c05,"350,000.000000507054068816",0.0350
140,0xA6aDB0981a016666471d269F4d9D16026c2aA120,"350,000.000000504727224796",0.0350
141,0x580387470AaDD10CB6DaCc98A6fF76B143822e23,"342,212.769264381108396261",0.0342
142,0x622013f79A0A5F1285bB7c2077B7F6b60660A442,"333,739.862099819437969781",0.0334
143,0x0B2f915dE4c8Bf199C89B291A85cFD882EC4155b,"333,168.939187260522170687",0.0333
144,0x491003c5c5984cdFDBA56AD183Df8D1C2efBAD4E,"332,795.067690845225125601",0.0333
145,0x641EA39410a28F3D035fbCD3758aB04789f88750,"330,400.324065348750455064",0.0330
146,0xddD96e4FBAb0c05748Dfb68F9BaF966d838aaC67,"327,162.792980049151782533",0.0327
147,0x4c109221cD2d8E871E31c4D094d55f4088ad2603,"327,131.842473215664477815",0.0327
148,0xB2C0D8682dcB5F5042443d9d74581aa38e184d54,"325,543.771256727898991492",0.0326
149,0xE89853f4fc2a17B9a5e176b215a309a27B378B5A,"313,221.259926534392750494",0.0313
150,0x7e73cCc793e2448C4510249E71De9aEe4442D7dD,"311,472.986109302478401345",0.0311
151,0xD47044Bbf35c26f419404794a67516A7C53ca549,"311,077.787628409049678537",0.0311
152,0xA9BbC87BA4aB1460ac2e447113172a2643106BCB,"309,569.967546948185221727",0.0310
153,0xC32b06953045e078E0Ddd4C9e60CfEf656f9DAB9,"305,901.810424316424180105",0.0306
