,account,token_account,quantity,percetange,value
82,t3fCUWnhrE5nRCLxdWkp6XiZuCQ6GcBjFgfYktGxCjG,2y6UjH9pvtVYcihc9bzDH79eMG6RYa5EHfsyTA6s2W97,"72,863.998583",0.007286%,"$74,436.64"
83,BbxcWqro2riPo5KQfi2v79sgdeXsaL78iE1bwa6YYU2i,GrU6e1qHy633YMubaWQKRVAWnBkb5RvQVVyNHmx75fRZ,"72,409.068734",0.00724%,"$73,971.89"
84,5UyAwno5pHNsjVYzcRM2BaxQvbrtYpuFphdtXdyLeWU6,WCsWfWCYbKF8Xok2FvYC2hU53cuzaVcrNMgGSAWG988,"71,724.891704",0.007172%,"$73,272.94"
85,BbQY46bi8WboeAPToknKbwTudF74w3vDo9mEVtrPvtqP,BQ4Q3pW4z6hxm76CH2w3gXmCTCuBtmK73yGTZMYbTQJV,"71,096.421159",0.007109%,"$72,630.91"
86,6BiFcNtmLGJcEbfrK5qeq6qecVXA5Bx8NudkjZMJBNN2,5hqDJBkMsEUMYJ9D2EwmsdxZtJdZYYRiB5gWaaVuXMAQ,"69,479.445176",0.006947%,"$70,979.03"
87,GHjM7cwEMx6xQWDUs3Xemp2J6EhpJCXaTb6WQRXB1mR3,J5Di4gvb1YmnxGMNuTkXLfNA36h8hVBEEJMZzRwA8JQZ,"68,610.203193",0.006861%,"$70,091.03"
88,4uA5VVwbVyZWSrZTqA4EQMxDnZkJXJtqBEfKiknAkxvH,5npNqLHd9QNq6FX5thzuBiJ9Rm459NJKUC8HziSywdZ9,"66,762.939938",0.006676%,"$68,203.9"
89,6H3f3e7tHZJ8rXQYTjeoEZdpSCnsXApDgB6QZn19M5AH,3NPeiSN68Mq9HcAtboYwqR4r8ht9AFCKTDuEvfE2foeb,"66,625.865142",0.006662%,"$68,063.86"
90,Gktd1bPU6s2pbxDheSSr3nXQisYacUg1JnBxQKNctiFE,6AXkpd4B89Y9da79nc5hATBdZKbHrVcpfLS8Y9vh37uv,"66,558.030205",0.006655%,"$67,994.57"
91,2cfU91vUxQegLfHYWCg7AgG9SoGqbt9inpC8KuT68t3r,A9aACFznF2xgvSeyxzxWbaRzmxoDEcCZiEdat9MBQ7oq,"66,013.576637",0.006601%,"$67,438.36"
92,4FpQteS3tcGuxRLZyGwcokZ53scGMABsma77DCp52ayE,5WFgvHNPQujQ2UZMrgHQLqxqyiSJRyXKJz5ZQSXSxHAE,"65,607.579313",0.00656%,"$67,023.6"
93,HW5vncU3RXBKFksnhSgVTCEBNVnK5rGgsB1xjEKs3anU,GA9DJsFQiyH4ufjmW3WLCej5U6wj128ezByKBmoTrYqJ,"64,783.247329",0.006478%,"$66,181.48"
94,StJ8poHs2r8RC7pPQCa9AAERwpWXKVc1MMtmEhDfwhF,7T9u3i9WztRMfFK6woPfhXoYoBWnBRMixkzs6kLNKyGP,"64,620.382175",0.006462%,"$66,015.1"
95,4qeFk9drccTdBhS7YFzNw2CiZrZu8qQnXRP693HpAHRJ,9TurpJs86PhndyYCxVKivuhAMrw7x1cgtPrN3F9tk38Y,"62,768.145358",0.006276%,"$64,122.88"
96,Ge9C5DxXYjivTXrryAHer6oT839p2oPuANhabKCTQenJ,Dgx8fo7BF1AVzDkkyqcVnZZTSTT3MGaAZ7ZvcNWE78fo,"61,844.886383",0.006184%,"$63,179.7"
97,JB9iShk132Tads4Zx5MvMqZ8j8zdFScEWtFhSZUfS82d,7QvN63JWkKM2h5ujxSaTyTwqbP9DzQmwqZ6jeBRKr2KA,"61,568.604442",0.006156%,"$62,897.45"
98,9Tv7siEtYvJCYTt1NEwt5NkZqgRCjBQBpnDKKVWPZtCT,BvThLhnvin3mcviNZNdPB2nUCoPJXoVNK3Dnbt5MpSWY,"60,601.126729",0.00606%,"$61,909.09"
99,3pnQNMYijV4LS2H5jRMs5f3KjhLvUrXQNJaJFF8vKpTt,DJnHNVLvJF3ZMQP9EXn1gyv9avDnrWLVT9jup244dD5j,"60,416.335199",0.006041%,"$61,720.31"
100,HYMmhz7YBGHLtcvULf2UJSb7Du8p6XFHC3wB3CVeoHm7,4TvP9TKkAnVzBCRcC6x2Bseczr7RFEtCsCXPcfnvkRhw,"59,866.939112",0.005986%,"$61,159.06"
101,GfyP1QrdDR9T1T9mdF4YBzhkQdE3sCPsJPzost24Uvvs,C1rU8iyXP2m7MFR5JGDJyiGX7xx4r7UHttCcJ2RNKa6A,"59,509.402494",0.00595%,"$60,793.8"
102,GgiywZMRjzbd9kwRimJaTKBu51VdJQtabFGejEUyrzvx,84PZS5UnTHp7umN5FcCHxyLQRULGxQEAn7k1QXh7Rj2A,"57,560.330514",0.005756%,"$58,802.67"
103,4f4ZX9Qf7Dwa651GxEhf7zDNdmSN5rTuzEX9Kn8EuiFR,9sdxZyM4biJj29YGGYpyuZ8Z6rqSVaPhQnLUHvPZeqoZ,"57,349.747974",0.005734%,"$58,587.54"
104,JGq3LtPycjc3UHyXc2euWGZvFZVWWosTQAR5msUMeVm,AUKEp1qG7JshtjJe2om6MjdUt42DC7e3Xaqtjo9dNh3q,"56,904.896655",0.00569%,"$58,133.09"
105,AQBr5Z8dJrp4TBbKVjE5iPgsk3amkyShb3DDxVeVV3q3,9bcAb5wn2KKEYS8CV8eVdvR5GWNFDPUCkNpVDCrUJ6XM,"56,222.959309",0.005622%,"$57,436.43"
106,B9iQyYEk3LkrEFgAZKLpy29KVkgMazd3afY6z8wgLhQx,7spkDJXR9HzP5yPYGKw7K3oZv7khQGi7yc8BCBw93p4c,"55,355.129898",0.005535%,"$56,549.87"
107,6kggiDG9JyQVf5R5kEgrNXPpfizqVLbsGuaqoD5gNTJT,Cq68vANq6d3dqWoRXvAkr6GaC6xC7E4beBrkiF6Pu9FE,"54,771.075508",0.005477%,"$55,953.21"
108,712sW91beDQnMFnHzjhWAEeC89BRDEXMjmMgUrfH9Z7v,AYMbvdPBirUFSjEmURiCkX16DjbZiAGsg2BATe1HJahT,"54,161.725458",0.005416%,"$55,330.71"
109,HN4vLMeEq3f8n7PaTeJ48wFr1GiqEHoAyFPmevWavBfN,EvLK8VvfMiCuFDCCbZ2PEvvqo2EtKyrh4LoNWXh8N4ci,"54,024.953386",0.005402%,"$55,190.98"
110,A3prnvviwDbd48Du7L5n2QPZJow4wVEqkGvZxC8tU65t,4gRpAN4H9kCGqyTWVcpy8xvqDRcvjQZQz9CiBdHt35Pb,"53,832.478203",0.005383%,"$54,994.35"
111,7RudAFpFoNqVbhXRukKRcUgyZYqZHDqnrPTbaBMvtZTY,FS4RVVF8HNSfRYofCXJGjmAzHjCfgWo7bDwEAc6kR6ii,"53,700.820566",0.00537%,"$54,859.85"
112,AzSVixanhfwP6FJLM6Rk3KEHRAT3oZNdYeJgJdWeJJXZ,ECowdh8Xzzr9qkX4e8Q1H1GpDBvRoaEohcp4m6RpRZZh,"53,231.988992",0.005323%,"$54,380.9"
113,5kPztav1BwcswokXqiC49jnAgUFhQgBrqCgDrT9nS591,6Z6H1bMzSNQaBe1qjTbBHxQhQbDHSFZpJzymYJwbZ2pP,"53,027.803908",0.005302%,"$54,172.31"
114,5KCwrjHHpQdFLz1BLzgGcnMJwVSRtbujDkDRvSyUdSCr,EMpz49ZGLYhA1eAE3YWFjjA1zRNLSBjFdBxbfSDmTiDS,"52,695.602596",0.005269%,"$53,832.94"
115,5zy6WPEgzVddzyGLs7ganfFrrfbT24xcazuKB6WCvFi8,9yAquevdRMU5b4AABCt4ExW1Yc9c6t5xtPj8YuZBCFgK,"52,205.838014",0.00522%,"$53,332.61"
116,EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK,5xDah53gquZL9jvcdMhDAdoGWhwiytKBNW2nVzqvknKs,"51,845.645193",0.005184%,"$52,964.64"
117,6EEKEwKnzgDWwxXDGPkf7kEZ4mkdUgecieQRPwCjsUKf,HZjcEyC6r197pwRTjx3uMhw9caTgLHJXaX7niBDDF6kN,"51,783.977697",0.005178%,"$52,901.64"
118,8UXdKXxHjD7XMnzSzm52Pvna5GaQD8MNVPkfg7X2LrWD,6s8mBVSBAtNqasQkdXn5bzqCN7B7vfqhAXuzbypug3yT,"50,000",0.005%,"$51,079.16"
119,436f8vRPNCsfLoGBnNA4y5bUBAyYFRWzBCjbLkhK2Pja,4WWwLVXhD9y2NgyoELgYXCAtWhtwcqe33TCDAjWFC1rV,"49,776.802688",0.004977%,"$50,851.14"
120,7XTzVMYFyjEqg89fLs4mqdVAf2edFycmTNF6ypGzZm4Z,3Jq9jBy1Y1xmWq42hfXNwmqTZqcyWP9mJQvSsrxQ6VYP,"49,508.159912",0.00495%,"$50,576.7"
121,4WAfwi1V6jUmFasSgMK3roUo6y9mHXxcUV75tVU9NtnQ,2yHtrwb3dD9aPPWMzPNwR4ao5mhkR79GWwb649ZjGWcz,"48,901.544554",0.00489%,"$49,956.99"
122,Bx8Z57oNxkYuhAL3Tp5FgDvLG2pBhecZhDdZmZjeNLyp,3MWjARQkwQMKYPDeKntuAxgNh1debH3kmXCJ6o1oWNdL,"48,330.02269",0.004833%,"$49,373.14"
123,AiCkGXSgkU8j9hBTu2jFXTHo1qo9AND5sc7oUkfmhKyV,CgTiTJFTfmY9oKig7sWeMDt1Tr6kGzPiXGJYLvHy7Bui,"48,211.202867",0.004821%,"$49,251.75"
124,BjzrJYHmiz2pGdrLob8BBhdRnnVP5otcEgDHe5Z94iEg,CXeq2myuDfVq6BZBPUgF5wiizcDbX7VSNwGXpeTiDMSE,"47,192.173808",0.004719%,"$48,210.73"
125,4y4S8hZeJhVXBGDaAcPcfdq9HXGnom8sGgS2bUxQuwu5,JQoF7s221C3t8Q6LpTwaYdvdThBT6bFfWQZcnnpZJzx,"46,482.749652",0.004648%,"$47,485.99"
