,account,token_account,quantity,percetange,value
73,CNycu6raR18LAUAVRVnQ1AjuJuCCh8bCPygvrbBgJvji,6LFKiTDKyJBPp2qxBULZwrqupwrM62mWnH8wdfSBTgyu,"2,292,886.337803",0.22%,$701.91
74,2WPTy8MKhtsEdwzvMZgC3ttCj1YyFK9NE7vP4WXFfQ94,AjbFYECcDLt2cFetojp3TX2GVDmu1Q3j52bvKUqr4ZNa,"2,196,174.68013",0.21%,$672.3
75,6d5Jze6dLK1odUjpGEZszJemPrSoMQSKgavVraAeeNcV,9CcYhKj5VXphfHUduQQjtUVTfhnXLPn3i4gB9sjVjHgN,"2,165,839.314697",0.21%,$663.01
76,Cs4tz4dnYSUVtDVjfzTrDoyxoptAg7oWJkqR86XiZwcf,FW5Rtu2QNhumLtffHQvt7C6ZfeUqPmSRnrqoD7u5oWBV,"2,137,452.672652",0.21%,$654.32
77,FFgdKDwAkisQZx33eyfdh8B5ZhyCfR8Gaj67cVHxxm2L,8oiTMmChJ1f9hdFUiZe76swumRrZ4Zcc7C7nVGCftT9j,"2,096,956.902002",0.2%,$641.93
78,5HxyxyWm73S259sZyk9ahMiPdP2bZifScDXxKKtz9NNX,AMbrDuCzfFpMoB8dn1m89ayQ4oURSHWqot5RG83pBuse,"2,083,308.402128",0.2%,$637.75
79,EGSW7jz7BSYhpqJ7uRQ8x4vDCZYxgM5x4pLjfRsPUEPf,BgBZGKLN2dDfTkDRcmmhWVXVpf2rzQLv7gsBdhDdwcKP,"2,068,042.556312",0.2%,$633.08
80,7o6swtR4PMj69EdbcTJ19hESFvQDQXLNuafPgWASviVf,57QLbpEuoX5CvVcYiuAuHu74uY8bCZakWp18cHRwT1WP,"2,009,699.610615",0.2%,$615.22
81,5EerhKzLDD3MpnKjmLDxsqMHJVFPj9W1kZadHJgC7SqD,Fu6xeLknY6jEqdJGYy8Fis57jv6UYquf7R2CM88v81iy,"2,000,000",0.2%,$612.25
82,H3we2sudj2E8uuVEApknBm6iSYQYfLzfz6E8uL1cCjWn,EYidthzwnide6CjLqpt4K8dRSRxpVi8xgMKXZCcEubV7,"1,916,554.104636",0.19%,$586.7
83,B7GuZdbc7vbhKouQLVnxRvcuLVFBtf3TyntkdGhoqds1,GrZAat4cpaZW68ifdtdoq6nJNCtHMMxWKSQnz2sypQFf,"1,897,855.882571",0.18%,$580.98
84,3aAqbcLHVzUUEHNJM9k7krw1HLr5xVP5UnrApCWWtFN3,CL3AU94HRLxySWWXe95qKcJgoovy8C1y41Y4byjAHrgG,"1,876,458.151423",0.18%,$574.43
85,HZmHCvxQX9gKVAecGGCpP3dBxcoBMpb2eg6o2S5Bchtj,BcFvBUh58szv9rLS6msDxnkddEipBPYJ5Z6d36Wx5LkD,"1,859,546.612601",0.18%,$569.25
86,ebGcF9q5bQNq4Jzs8hbyFCqjjPb6464zpAH6PkYmV4s,4GCoB4CZHfM8GhrEFXQZhd6xHPN9z961wCtruMZVwZ9z,"1,770,297.686489",0.17%,$541.93
87,HDJJRYpiModoNeUKeRe8KBFkib5SZtmSpRAjRYPJGTPd,DB5CNKnKMU1ZuDEZQtPzJWUJJTxf6xxGMqJ4t9YqMPuB,"1,761,141.712564",0.17%,$539.13
88,4HLS5Gj6aKJk3P1c41oeZkg97VRZN9qmn4CrVPjYWKXf,Hdg9jm1JAV92gV7pF9CFnknrQsTL4pBJEZ6v3L6bY81C,"1,733,204.213448",0.17%,$530.57
89,FSkmRPArUnFFGZuRUdZ1W7vh5Hm7KqgjDQ19UBjW2kbC,GqX5FfJNfnEoGkTcmQtRYfp6TX7r1SZtCMNhG8fAH1CG,"1,665,726.095",0.16%,$509.92
90,4Z3QDfZukpRV1qTuykU46FxLgnJsZ1AKC2D1sds9R18j,EroNAkcQeuberJScpL1RLFcLdUaEXCVJVbEu27LqnsD5,"1,653,127.337227",0.16%,$506.06
91,9T72tP6hf1RLVu8kDHBAB7Cdg2Wx7V2fZ1MjN4eLCb2v,39Us7Srdfvb1cZUQA3Kpdoafbn8XiqFWWbXXvmq94WF2,"1,589,271.892848",0.15%,$486.51
92,H1nEvdRKzs9nEmZfcjNRxq3qThUNwndqvkxbjJ8icQK8,FzKiqdT2zW8D6yScU7UxxkxeJJTUtBWJsd8ed4sMPbbW,"1,589,220.682786",0.15%,$486.5
93,6SeNZKSLUacyn1RrdH7aS4qgAqT1PPmHhk3Wc46Dyn4H,xwCisVnj1wdKDfszDszs3kxa1iaikacUWMj1serfRQb,"1,585,083.508665",0.15%,$485.23
94,6uaRZyT9rANjHPBGKjrDFSagKURhLmuTAw3mSXjuaHpq,A7WScptK8GuRiYA3vFywRYuiFvwvMGXNc84XScP2ZWQh,"1,567,219.954775",0.15%,$479.76
95,8reBDng3CaQYCrzGJFCrs61rq6dkjowc6A7Q6qhcJViP,89wJEVNw1MdRSdzVAhtnXT4BeD1ViN7aCCaS5SUF1P2c,"1,544,394.613439",0.15%,$472.77
96,DiCWtSEpyscC5RDy9HFgfhZt7uwNa4WroJHByGCwyecX,GdsHdjjr1xDjU4g15AXdcqhbzeTZ6PUKNMxLWirMW3Ug,"1,508,890.169108",0.15%,$461.9
97,7RN7mzFwLVutxQP6kdLzrQGbWf28tmfJgdoDL31Rn3Ke,GejuB2bFjVLaLtQxePCyaMZP85NH22Qv6GdJ487fkD1F,"1,508,669.64928",0.15%,$461.84
98,H2L5yeXLXXbQKvbgPBbXHWJUd3cg95dSBVHMpeDtYo2g,5zNaUYhBBbnKJ51XQ8fmW2p6WcrVjtyKpfseCm2ZL2TK,"1,501,274.037131",0.15%,$459.57
99,FMT7pzhqYt9snQNQ1tfFLhdRFqm63xmy7FtJBh7vsHXc,J1X43xQPK8BjshJj3mK7bsb7s4TxA6AvzBx5SdGbsqD7,"1,477,243.126827",0.14%,$452.22
100,91kPreAtST3d7XRpM8o83tt2G1Kno7N78WPxdCBFTKqq,2XiXXGYJdXvVpPq3B3ef59aqnSstVUVYud89qF7yTEWY,"1,476,151.363913",0.14%,$451.88
101,2MVamzHgEjxahgetc1hhnEWUfPLNZ2hZipYA7DLWMMTR,BjEfzfPbCMa8kPJx5L4drN3tpV11i38v3h1uh3J7qGNw,"1,444,425.201512",0.14%,$442.17
102,6aSiNeDCQ96Q5zcgCL3dhJfevfuf5k95gxGMSGCVoYud,EovGBAgahQmp9LoytwYAJTbJyKZHZ12u5phd16qKnuev,"1,409,892.296273",0.14%,$431.6
103,6nnz4EQXuXfDVc9ohF1mQsbRD3M2rQmykq8Fs54BNo1R,CxrMCSDUWVBNHCDg366unjQ8iy4kEVtAE5aWRhUAAaKg,"1,405,515.397881",0.14%,$430.26
104,DYkFdKZ3n7RgfKQTLGX4xU58U58mVvfnEQH9NRKH2BQY,2L2iNmBJLH6cnVU29Uua9V2LXQwafpf7qgC9WJ8x4dWM,"1,398,990.33632",0.13%,$428.26
105,2fjfzjSRnPmJyKEqKspMk4fP4pNi9MNUATh5gaGW9LJs,6NU42XkXzkfayM3BkstZazKt7AKRGrTGrfYLngf86Trs,"1,393,764.59994",0.13%,$426.66
106,4eR4KZdpcst9pJoje8XTDUMnFMiHXy37HKh2U83beafv,GaGHc9gsPG7mqbMvZjN9ccZU1Qw587yEntgz9AGzvSAV,"1,368,154.548771",0.13%,$418.82
107,V1PkyMVPdsaod7EgXoWK1aDqTDqkqchu8UXz1RXb5hJ,YUZru9rdkxEk16u4pDb76jBonNpwCe6HcxT2a7nAqX6,"1,345,889.033022",0.13%,$412.01
108,135Tb3PDBtKmWuoTc3frjGmG7csccHDMLSd3VdTEEtMv,FCpKp96Uinf7TsX8o9rWp3mNthpPGwiVu2VDgw1E7UFT,"1,323,100.09835",0.13%,$405.03
109,HAfg55hUzoqRubeDHddpHUPW7Pcyyyizrpa8sVkYMd28,8cfG8yZkWHPyycsxH1aMt5Kg71wGT1RY2tDmBYDB1B38,"1,316,617.556831",0.13%,$403.05
110,5KBuiJ2BqrdqZJstAbwKRQwTY2Yq6Xc3qkkeEJFYkA3e,AhcbEWDrfRn8onTmb1xRB8dZ77CBqfScqFE19oy4RnfW,"1,310,319.120868",0.13%,$401.12
111,2L3hZT7Qws3krTi56pojP3DCpvBghRc659m2Z12y2Ub4,27SkpLBgCpUzDtFcVCnsNFaXHS9j4JvLkLydKyvgbmy8,"1,252,462.596155",0.12%,$383.41
112,9yQUV4DwSRB4qPj8ukLHDn3y9kS6MJaqeYABXe5bX4Gi,HJDWCP3VXDzctaDamGwhrXGP1DXkh1cc3fEyt7t7STu2,"1,214,732.719474",0.12%,$371.86
113,GEGmEA5Qvtv4Mx6XYec8Uzac7nuUHrJzWmv8dvWiYTXu,8coX6QK4NvudV8RDRFL8Z3FyvnmzB8gQyTCMBqFWJx3f,"1,200,135.888738",0.12%,$367.39
114,GQev4tpL7PMDsj6FZaziju6hpSzT7asT7TgK26v1fiMu,DKd6q9iWFDYXHUs1HLAY9KTNmFqKn3hdP4w1w4NpjVpn,"1,200,000",0.12%,$367.35
115,8E3aFNjRhasyRbBgRM8An6cZqjTbp3LK3qdwY51iSWMW,4BsgwzQ3miCCHUFsFbMJvpVEMugRFANFVGmJeA4xVL9U,"1,189,850.685846",0.11%,$364.24
116,5qX7DbafAcNAZWrzvP2PbV6cJfUxT7U3ar4mghG3dufT,6beb3LW3z68HH1jH1Jcgh71tFV1oZSCHYyper4Y5cJCV,"1,188,912.916514",0.11%,$363.95
117,24ZAM7Cgxwmgdw5i8yu5XdoTMvpoDyvwRyBsPpssYhgS,5vG7hyZJ2jLWqCbPtJ84VhR3WS6fsC1MKxjDRnboJh2V,"1,182,049.863591",0.11%,$361.85
118,GSGxf8Mre1bi3BDYS1fcNrY2qFfiHCK9LvoHDHN4oHwR,9vwZ4nDox5H63AWm7ontkPJ2hVCytoJpFEtD1EMg96EZ,"1,159,881.833676",0.11%,$355.06
119,hnu5iBK8UoHb51UFsH1RYTUAYdrhjHvV5YMTf9T1CYN,8LFNP9exJLfq5ycE1R6yUUaVP8vy2N9yv1aSMZKVDNDx,"1,151,055.35882",0.11%,$352.36
120,6hqaJtRVoEN6J99Ks5YcGeFz1vYhUcKE3PUDpdzAmoB9,6YQAWo763t2XN6Xy91dMXW1L1AAabHQhYKCzcWGDc6my,"1,141,565.892613",0.11%,$349.46
121,2AFsGMPP4Fd1TFJQhnsWs1pUTu3dVvx7j7RfLArhoyWw,6Q8mUffnVwTKH57g8KyuYUBYsPBCcRfUHrA7BcrYiCfz,"1,139,377.662715",0.11%,$348.79
122,ymqREGPaFpHzdQgNYmeHhBKiZ1NB4hs2qcXPQ4R5rNN,4H9mrUiEhFnE9MmkChW61SqgYREKmGCFdJ64Dodssmif,"1,138,908.039779",0.11%,$348.64
123,5hPW63oWc7UBEcFH4DYUxkKiZ66dkZbnV4oH593XiAts,4Hdqrd5NzK1mY11nEs2eXmHNk6DbgxRgxit7HZJc8bCL,"1,112,230.648248",0.11%,$340.48
124,FHSwTkfKDk5BALnv7yT2y3dtutzh2BTVX6cyq1MG56Xf,2x3i14RMcZjwFJ7nEetqQ9RMn191FxzLns1Zf1u9ifUQ,"1,079,127.493546",0.1%,$330.34
125,8BovHdRFuqcKE9LkxRuMFaJmSkQtAiWZxuTxuknGT1W6,ACDND3qBa5f83vinFMrz8er9HquM8QfyZPbtwaeHNQmj,"1,072,782.256499",0.1%,$328.4
126,7BXQaERZwvu231PqnogZba1syMKMTyq8G9qJCKfkv4pq,BCv1nxvyESh4H7rRidD3SvUwYbQZz7EAjayAZrkCegCf,"1,070,411.874951",0.1%,$327.68
127,EtTE4vYantnGZuznJpceUojxsYCgXpP2jmDr1DxCfjtb,7gPHovThmJrZTdShxibeijed1jdxxYt1tBbA3VgfNKLt,"1,070,314.136709",0.1%,$327.65
