  ,address,quantity,percetages,value
1523,0x3B5f2Ad70eC334bF5C51A483297B62d499B7F1eD,724.964954735042371219,0.0007,$0.38
1524,0x3AD3213299B19e083B770E3fCDDc7f748F3ed91E,723.93851582626193432,0.0007,$0.38
1525,0x3AD3213299B19e083B770E3fCDDc7f748F3ed91E,723.93851582626193432,0.0007,$0.38
1526,0x37d2B9C3f5eB3E2E3A22D88F65DcaEfaA263961b,701.807493359193396088,0.0007,$0.37
1527,0x37d2B9C3f5eB3E2E3A22D88F65DcaEfaA263961b,701.807493359193396088,0.0007,$0.37
1528,0x0EB6517B1A108E319e14B5Cd595F232d97A46BF5,683.894080217613582112,0.0007,$0.36
1529,0x0EB6517B1A108E319e14B5Cd595F232d97A46BF5,683.894080217613582112,0.0007,$0.36
1530,0x830B5154af920e4CD8CEB48D72E61a145ac4EE18,680.306921738922383855,0.0007,$0.36
1531,0x830B5154af920e4CD8CEB48D72E61a145ac4EE18,680.306921738922383855,0.0007,$0.36
1532,0xF1fD1f8d26Da053bFe77d2811228b49A02E09747,677.00880562874559694,0.0007,$0.35
1533,0xF1fD1f8d26Da053bFe77d2811228b49A02E09747,677.00880562874559694,0.0007,$0.35
1534,0xbF3616Bdc3A74fd7CD69454acAD63984f80605E4,672.062251424205125941,0.0007,$0.35
1535,0xbF3616Bdc3A74fd7CD69454acAD63984f80605E4,672.062251424205125941,0.0007,$0.35
1536,0x3Db4E8d3c9831214720b10C08b411e97070A2f9B,658.739256288831560591,0.0007,$0.34
1537,0x3Db4E8d3c9831214720b10C08b411e97070A2f9B,658.739256288831560591,0.0007,$0.34
1538,0x4123A64E31F73c6ec8046600d3CE97A5128F0912,654.613284033575168361,0.0007,$0.34
1539,0x4123A64E31F73c6ec8046600d3CE97A5128F0912,654.613284033575168361,0.0007,$0.34
1540,0x01f9AAEE63267d6fDB2e56e75Ad8E94c7C4Aae50,653.689263817054707591,0.0007,$0.34
1541,0x01f9AAEE63267d6fDB2e56e75Ad8E94c7C4Aae50,653.689263817054707591,0.0007,$0.34
1542,0x791e2482E7E72A2A2dd1F37C9b1196ED87EFf7c7,646.785829994489868204,0.0006,$0.34
1543,0x791e2482E7E72A2A2dd1F37C9b1196ED87EFf7c7,646.785829994489868204,0.0006,$0.34
1544,0x7425473C1121A8BA617576d5b231dAD44D794C15,643.833862660383597121,0.0006,$0.34
1545,0x7425473C1121A8BA617576d5b231dAD44D794C15,643.833862660383597121,0.0006,$0.34
1546,0xa4CD3de07DaFA3f700c908043118b39547190143,641.044164006219512882,0.0006,$0.34
1547,0xa4CD3de07DaFA3f700c908043118b39547190143,641.044164006219512882,0.0006,$0.34
1548,0xdCbb755a3fEBB8D118Ba9c728Ef7C9700Fa82217,639.332650156587660768,0.0006,$0.33
1549,0xdCbb755a3fEBB8D118Ba9c728Ef7C9700Fa82217,639.332650156587660768,0.0006,$0.33
1550,0xE6f3e425bd8c1395282C364d873AE6411017e7E2,638.480843691180169936,0.0006,$0.33
1551,0xE6f3e425bd8c1395282C364d873AE6411017e7E2,638.480843691180169936,0.0006,$0.33
1552,0x0CdDF793af06B0F2642eE57a89a5F5e022Ced501,627.188706132245228183,0.0006,$0.33
1553,0x0CdDF793af06B0F2642eE57a89a5F5e022Ced501,627.188706132245228183,0.0006,$0.33
1554,0x5B93D80DA1a359340d1F339FB574bDC56763f995,625.849637243449698419,0.0006,$0.33
1555,0x5B93D80DA1a359340d1F339FB574bDC56763f995,625.849637243449698419,0.0006,$0.33
1556,0x5c0721A11b3b3486755df2C5448032974531A544,619.6326347369381468,0.0006,$0.32
1557,0x5c0721A11b3b3486755df2C5448032974531A544,619.6326347369381468,0.0006,$0.32
1558,0xBB98fD38331d778D645D188Be84b41Db754f6Bcc,618.585811373386936083,0.0006,$0.32
1559,0xBB98fD38331d778D645D188Be84b41Db754f6Bcc,618.585811373386936083,0.0006,$0.32
1560,0xD6E2a74a1915686e641f0b1c960D56e6cfFa1aA1,615.462070257898063877,0.0006,$0.32
1561,0xD6E2a74a1915686e641f0b1c960D56e6cfFa1aA1,615.462070257898063877,0.0006,$0.32
1562,0xd3CD04351BFEE33072dF30D8dB0c63bdB7EAf7c2,613.922625382455155633,0.0006,$0.32
1563,0xd3CD04351BFEE33072dF30D8dB0c63bdB7EAf7c2,613.922625382455155633,0.0006,$0.32
1564,0x352A3666B27Bb09Aca7B4a71Ed624429B7549551,611.404818537758105089,0.0006,$0.32
