,address,quantity,percetages,value
95,0x8d1473505bB6eaA7397B0576600E7810baB3A12d,"2,549,243.498676335998185549",2.5492,"$13,768.00"
96,0x4937aC3f7D06B66be6B7C39E536114F4a042A48D,"2,547,271.675614836240335679",2.5473,"$13,757.35"
97,0x846Ce0fd79c170439E100cbDC3B92313503Bf827,"2,539,224.828901393625117351",2.5392,"$13,713.89"
98,0x84b3Fedd93EDEaB37C12879a7239B8D15072f6bD,"2,500,000",2.5000,"$13,502.04"
99,0x4B66ea2CE4fE93DD7350c02a34D2D7e2FE259b59,"2,500,000.000000000000000001",2.5000,"$13,502.04"
100,0xf32D0c91Cc93C215CB67965596C7cc493561f7cB,"2,500,000",2.5000,"$13,502.04"
101,0x12BA1E1Ca84e252a63D96C6c0C7396897c1f1cA2,"2,500,000",2.5000,"$13,502.04"
102,0x127B3BD44c452d00bdA424536E902EfF57453391,"2,468,081.179643448521502637",2.4681,"$13,329.65"
103,0xFCE49B12017C6fD7984afA95134F3461666f8d4d,"2,452,909.915487046874083169",2.4529,"$13,247.72"
104,0x9F075F9FDf877528A4b0A13a77B2A359c3829d34,"2,436,638.629217008789129503",2.4366,"$13,159.84"
105,0x2e6E8950d8a57FfA3D5e4A9583ceDe2d0b2e3c9D,"2,410,000",2.4100,"$13,015.97"
106,0x6dE5dCCB8E0570357955EF336910F6022cE4A46b,"2,400,000",2.4000,"$12,961.96"
107,0x000000000004444c5dc75cB358380D2e3dE08A90,"2,321,773.781620029120405417",2.3218,"$12,539.47"
108,0x080aDf569fA2BF9f329A94a81bA7e5371Ab8Ab07,"2,299,403.386106079959050184",2.2994,"$12,418.66"
109,0xdE2dA2780877D08e1Ef206167C380A598E8De2ed,"2,296,350.000000000032805001",2.2964,"$12,402.17"
110,0x3f7328A4fe7b956Ac0eB0FdE56AeeE9C9A5c56C2,"2,274,147.561455450431170535",2.2741,"$12,282.25"
111,0x1924a242DD1e6EB0d1306a12dF797B88A0F03cB0,"2,248,283.106619835906764309",2.2483,"$12,142.57"
112,0xF1E9D673B106Dae9C9f0b77473E84f4bCD6c7c2E,"2,231,766.831865032553752189",2.2318,"$12,053.36"
113,0xa22D651a5671118A2Ee9E714577E2132aa6d5BAC,"2,230,394.090748316167436327",2.2304,"$12,045.95"
114,0x68d370eC79994B4D54791105f75C34A9a148F5dE,"2,222,829.410272148157801304",2.2228,"$12,005.09"
115,0x80d0500b79aAaE2f43b153153eCBF2d21678F7E7,"2,170,831.277049217320461036",2.1708,"$11,724.26"
116,0x4808A37A014C1a3EF882b23D148F119f9DDD56A0,"2,169,632.511263143869424146",2.1696,"$11,717.79"
117,0xdD293ba5A549f06665dC0D73904A00f067846580,"2,128,842.140158769032240663",2.1288,"$11,497.49"
118,0x5dB8CD485dd7B85dFD5dBc36d211DBf9e857077e,"2,069,645.754876444383976662",2.0696,"$11,177.78"
119,0x0c9DA8c670f44f530E05df91F2E17546A06EA6B1,"2,045,569.684635826221035253",2.0456,"$11,047.75"
120,0x2355323B3723b2c25b6e29599562AC118b5eD241,"2,038,544.624670628630249609",2.0385,"$11,009.81"
121,0x0fEcD7e7b6627Bc9A87660522E11997BAD75d8aa,"2,024,812.887119682913457371",2.0248,"$10,935.64"
122,0x568E722bd679eE5861AdCD9b01346090e91F41Ae,"2,020,000",2.0200,"$10,909.65"
123,0x5707d63654b3564C8BFfb74fc16E171B8aEd5D26,"2,000,000.000004439626315819",2.0000,"$10,801.63"
124,0xA8b2f37430F909E1b7AEBc2a59b5e6d115C60606,"2,000,000",2.0000,"$10,801.63"
125,0x71b90acAFB8D339F35b23253F5f209eFc7635dcc,"2,000,000",2.0000,"$10,801.63"
126,0xAa8b2de8752191A40656E2acFBb381543F11b22d,"1,993,061.622032320746429904",1.9931,"$10,764.16"
127,0xfba04E5CAfA90D8B7Debbf77569bd405FC9057A0,"1,985,624.915305051404170655",1.9856,"$10,724.00"
128,0xc02D589D60Ce089b0f36948d3232CE798a3526ab,"1,977,241.549331843728230799",1.9772,"$10,678.72"
129,0x831db370b14dddA511676F93333FFf539B2f6FB6,"1,948,511.064953709409142588",1.9485,"$10,523.55"
130,0xf559A188c3DeA68F98614218764307c5cb4591aB,"1,946,295.47813934748103891",1.9463,"$10,511.59"
131,0xe539eeA24f025fC096A4DE727DF1a4341Adf9d98,"1,925,791.555045038787276737",1.9258,"$10,400.85"
132,0x6627562efb5B5c064B55445eAD0aDF4F8EF44da4,"1,900,000.001036804364660783",1.9000,"$10,261.55"
133,0x154C156ba9e478dD53e59543Cfe02575eff665C5,"1,899,999.78052420885808549",1.9000,"$10,261.55"
134,0x10D53d92b019fABA3a8e9CFBE994fa5521FA1432,"1,899,217.590578363124250349",1.8992,"$10,257.33"
135,0xD0189bC676eA5e28c98bd82B4d5309bf851A48Ff,"1,882,977.481664600085835466",1.8830,"$10,169.62"
136,0x8e47d6C9d1a66A24Aa79EF9000c6c4A7B7C4a89F,"1,855,632.059118179712521047",1.8556,"$10,021.93"
137,0xaAfdDAD7402CF31c956babCaf4e4122804327071,"1,853,584.799589190482275176",1.8536,"$10,010.87"
138,0x716E7D55be554d2a9953e9E263fA72881aaFD7B3,"1,842,783.604545120261566839",1.8428,"$9,952.54"
139,0x737Ac41c2033a0a5a5b5fC24BcF1A5D2dAF187F9,"1,833,802.88965762955504994",1.8338,"$9,904.03"
140,0x9ab1D2938598830a871E0fE8ADce712fA6Ab155d,"1,831,331.677610274334405685",1.8313,"$9,890.69"
141,0xc2459D54B32AF66bc1AB52C9C4877EcDC3080599,"1,813,380.719945570613635953",1.8134,"$9,793.74"
142,0x82069E7412a2D4B7d413BF2Bb01795Df5194E253,"1,792,253.310843665054946346",1.7923,"$9,679.63"
143,0x3b8F5f8f2B91d294F396e084731d16a3C84C0477,"1,778,240.838566130096407309",1.7782,"$9,603.95"
144,0x57459BE4688667c05eb7A215296B6C94E83ED80C,"1,764,162.005890378543120481",1.7642,"$9,527.92"
145,0x0AAf93A46845c7Afd2377d40FAE73f3c44b8fc7d,"1,744,516.409164489512961803",1.7445,"$9,421.81"
146,0xAB15C70c6A3d8e9D81bfC56B4f1A10FFE907c663,"1,743,817.747041398976059105",1.7438,"$9,418.04"
147,0x85685B446f606545bb2280aD70C4dF09eEAe67F3,"1,736,158.097930933209806942",1.7362,"$9,376.67"
148,0xA5c496eE8361b1985CD77bb15b3f4aEda830CD4D,"1,692,512.491362109527621991",1.6925,"$9,140.95"
149,0xBf86B9B495f359fBf76249817CC8BD2E88aAb697,"1,664,315.815888721507242452",1.6643,"$8,988.66"
150,0x20EA2Cd00f9F7b5D94c2cB2401fAe237fCB5E48A,"1,640,368.330819381918210538",1.6404,"$8,859.33"
151,0xa9094951e4518A6f2855dcB39accEdC4ac1539Ea,"1,631,165.500033573437329675",1.6312,"$8,809.63"
152,0xD932C8Eb170258A54B1232722616139221a8B8A8,"1,619,495.25429319485454608",1.6195,"$8,746.60"
153,0xBaAAb5dae967780e36F057B036D82568Be140a53,"1,577,067.771870981923779072",1.5771,"$8,517.45"
154,0x06c730086c02DaCAbcF8A89dCf58EE597270aA59,"1,557,754.597565106791820725",1.5578,"$8,413.15"
155,0x2B1537dDAA85B27acDcff6726280a4e8a2463806,"1,549,239.369916824937214697",1.5492,"$8,367.16"
156,0x1CDf6b357987E357eB2a300Dda291983630bBa1c,"1,531,815.925922900743657605",1.5318,"$8,273.06"
157,0xb0A4a9C1F0B807Fa8327881E9a860E542BfE2946,"1,519,600.083719502542797947",1.5196,"$8,207.08"
158,0x79D6F80D880f1bc1671b6fe3f88977D09eAe4DAA,"1,500,000",1.5000,"$8,101.23"
159,0x95d48CE924834cD4f3B9857EA4Ac92e3667b45AC,"1,500,000",1.5000,"$8,101.23"
160,0xB1D71C3Cc121625E7f0b8A41c59515A545d77bEC,"1,473,803.459089911898683023",1.4738,"$7,959.74"
161,0x1d81BEc63931A21dF4e5763Bfc6C0252A276Fa75,"1,469,863.957723736812776005",1.4699,"$7,938.47"
162,0x7674993A8444D4d3704179a11bf41486a9cEEB96,"1,469,834.806833532053978565",1.4698,"$7,938.31"
163,0x0c82c5993EdAc34364c747639719fDD225C8Aa08,"1,463,422.040877869719396196",1.4634,"$7,903.67"
164,0xdF6dc4EC64AA8B3dcdD98DE1dAe92b89d9f2eF6F,"1,455,333.865751511706585487",1.4553,"$7,859.99"
165,0x6e2609760C95fb96C944512BD16D7515C88e78Ca,"1,449,273.735147815510355834",1.4493,"$7,827.26"
166,0xb255db73B6c5a8Eed6FB09a7D8cAd778a312fE2c,"1,433,977.5070981530355402",1.4340,"$7,744.65"
167,0x80aCac7F1A7F614ba30a129C8c8d3Af326B73E5C,"1,428,818.021396786675012945",1.4288,"$7,716.78"
168,0xB13a766ffD0dE867deAC4ffDb7203C5fa97dEc81,"1,414,308.737409727573005641",1.4143,"$7,638.42"
169,0x332b983c92bD0838a86e0F31D50fA54eE02077e4,"1,412,213.848952696991868415",1.4122,"$7,627.11"
170,0x16B663A3D751Bc15F420B7f60dAbaECFB2037524,"1,411,331.27845",1.4113,"$7,622.34"
171,0x36F85A0BB806D165fB6CCE3131FF11FCA1E7D162,"1,402,463.821465871055418238",1.4025,"$7,574.45"
172,0xCcfd3bc2f631ae4cc1be1F8749048104B2b87B2A,"1,373,623.371946098454408923",1.3736,"$7,418.69"
173,0xeBf88C16E578D5DE624c9AEEB2c2f7Ae5196888e,"1,332,579.751164300432525874",1.3326,"$7,197.02"
174,0xfB714B4e56B51905B38B05501b21001A0CFD8e9a,"1,330,469.974128427117544244",1.3305,"$7,185.62"
175,0xcaB7c9B0FC996283bD00753a6aDF664E29439ABf,"1,322,994.844853321904",1.3230,"$7,145.25"
176,0xF9D5326A259b6cdE21869c55de3F923Bfa593C10,"1,303,995.147093271544661251",1.3040,"$7,042.64"
177,0x0bA314920c2Cef12e660A13B860EDC43f40FCA40,"1,303,248.65313909348",1.3032,"$7,038.61"
178,0x6537E1c834ac89ecc36a75180858C7915E4Ba05F,"1,278,505.742001040236498406",1.2785,"$6,904.98"
179,0x4A9e21895A11F2BfE9a94C7862Cb17269BC5ea93,"1,274,279.746287127137029059",1.2743,"$6,882.15"
180,0x7d1ED20Bd14896E2018a0a07290486BcD4729f78,"1,268,153.8973063897403464",1.2682,"$6,849.07"
181,0xda942A96E45a44d223996feD3874CB02F16deaD7,"1,264,399.070222592809781037",1.2644,"$6,828.79"
182,0xEd4DAaF5E86F6edDBD358266369A804563f434e1,"1,256,560.416642162205425492",1.2566,"$6,786.45"
183,0xBD24e1F8ECA8Fce56E7f1e95aF4dd1b594B06f55,"1,256,543.662610479299426659",1.2565,"$6,786.36"
184,0xf83FC5E2Aa844a5e8185836746391cf71C42dD8c,"1,253,741.276993651776994711",1.2537,"$6,771.23"
185,0x48D87f7442bAA9695E895f69BA8A927a3ff0780A,"1,253,139.360020805615980895",1.2531,"$6,767.98"
186,0xfd18D9f9E3118645D35040A6f54be277f97067BE,"1,241,709.89285820424280704",1.2417,"$6,706.25"
187,0x0aaB6edaC7cF869065506A485c721ACa0100dEaD,"1,237,389.647451351027470893",1.2374,"$6,682.91"
188,0x5a669E68C6D9716ED5fc9cEa400F6c6E045B2299,"1,225,042.632540502255660563",1.2250,"$6,616.23"
189,0x967cbd570603930f1c5876782FeDdD726C9a29E2,"1,203,937.360076050726406117",1.2039,"$6,502.25"
190,0x3ac1FA9E95437B298177f9d89F8406A85843Bd4a,"1,198,362.276623769145452832",1.1984,"$6,472.14"
191,0x3FcCcF26e3793e9Dd72Cbbd04B6b916e15468c09,"1,190,695.360367989827",1.1907,"$6,430.73"
192,0x066B3AC55e893ca865975b9A3e50565346940a79,"1,168,852.220956618377556647",1.1689,"$6,312.76"
193,0x3B17FDd632EC7E099805B7CF049614BF9213504a,"1,159,879.635970200949288098",1.1599,"$6,264.30"
194,0x37625615c8673145d612a0332873573C25179E65,"1,155,080.824011567116881894",1.1551,"$6,238.38"
195,0x57B3ab6d363C4B5528bc04E2c6AE6ac047C42B3D,"1,153,314.700845880872389371",1.1533,"$6,228.84"
196,0xdbB2a93AEa74291Cb29eA2fD696AfE3e3A7b0731,"1,152,817.159060604086225732",1.1528,"$6,226.15"
197,0xAfBea7dD662fc3EB0F4DaCC095091a3Fa8214DBB,"1,151,118.712449430171470644",1.1511,"$6,216.98"
198,0x41B685fC27440B335F1192458b4Bd80A2b07CEBf,"1,148,918.846774616211320754",1.1489,"$6,205.10"
199,0xc950B3db185B3a4360815917c0143A76504D6D8e,"1,147,367.133622582120311741",1.1474,"$6,196.72"
200,0x38CD3520243ae08C64F98054c51A4E5755155e29,"1,141,424.963288137748214125",1.1414,"$6,164.63"
201,0x74a4E1fEf40d90Fa1fC28eD6c41dE5Af83d279C6,"1,130,600.480103161685524093",1.1306,"$6,106.17"
202,0x04f111fD80F8f1Da3e2d0D4C1D12c9a96690108f,"1,130,057.495724418456990622",1.1301,"$6,103.23"
203,0x8850D12C9B12fDd31023B69d648C721Ae26c5Eac,"1,125,397.859106113504649338",1.1254,"$6,078.07"
204,0x5544BE3F5f6359f0F4B31392273aB4e12cBc14f8,"1,105,966.561889854639916918",1.1060,"$5,973.12"
205,0x7789219BD920933fAFB9721C8C25e6fFb739fA45,"1,101,853.087204224037571602",1.1019,"$5,950.91"
206,0xFfae4062282b093051B2Aed665Af25F48b4cD74B,"1,101,811.6932627870341901",1.1018,"$5,950.68"
207,0x2cBC4B575306eb2351575d119B58306dF3527F82,"1,101,267.541818765326755676",1.1013,"$5,947.74"
