,address,quantity,percetages
697,0xf384E965fa8c096Ec587E3436e6f1e43FB46e120,"97,218.828586443036887167",0.0097
698,0x66841fF3EB9f61dF88f9a2d0804c432f63c0Cd71,"97,211.384830384239713909",0.0097
699,0x10DeF94AD0EEfCf9069F7D4420f4eB9f2dc6C123,"96,846.982828276005757885",0.0097
700,0x6f7eF0dB87f309c1fFC3Ef127EF505cdd4ba63b0,"96,591.90432689951050217",0.0097
701,0x5A98ef04eAc4B130b6DD0aF5A8fE5f8847F5810E,"96,539.554739581286301371",0.0097
702,0x8325b6ebB7AF55E189A9F3D5c139C3A1C93852Af,"96,236.098266155132989646",0.0096
703,0x6488AA2Ea112461105d5cBeC44781368B0B8f0FF,"96,200.157019065328105012",0.0096
704,0x76F8a6939668D3d406e89D445a0aA705255B7bb3,"96,151.791986251448088657",0.0096
705,0x9bad2b237436488f31d614d8481D4AC2b9E1284b,"95,857.056935382830628954",0.0096
706,0xc0ACc161430334b793f749D6Cd90b54EEA60af6F,"95,473.268630961979510483",0.0095
707,0x3484BF892Fe615335Ebad9136ff10cfc0f5Ce65D,"94,561.664076169204424928",0.0095
708,0x6d797e57bEef90E59e305CA01D407CFA28AfE183,"94,513.679342579868266464",0.0095
709,0x7afD65E416297C7Df7c88ba16540f0df181CA2C4,"94,210.558835611000957713",0.0094
710,0x2EE11F4f1edA65c9C5fcfa72d80654E2BD898CD9,"94,057.000766481992745016",0.0094
711,0x874D239DE3edab30D591cbAfDbaDfA616F7101DD,"93,900.052431330097471253",0.0094
712,0xAfd2f2FafAaEBe0C671159A603dD53C385f9454d,"93,856.910263678402309577",0.0094
713,0xFc1662bBeD3A8A41197B3A5f11e1BC724A751231,"93,809.299025020403921529",0.0094
714,0x45d2C876e0595e1C5d4D45374A848800b6B27012,"93,750",0.0094
715,0xb5BE4f961FF606ADe35846AD7DE2307fE5057A0a,"93,580.095997889946063368",0.0094
716,0xc9ADB3C743998Eaf0e90396B515Dacd24d6b510d,"93,565.500702481138071756",0.0094
717,0x4932A4c7aD0Ec6baf965F14910f9c436CE3a1616,"92,671.953527530141539901",0.0093
718,0x615b20391AaC2ba2514d681E7A4651d505601458,"92,500",0.0093
719,0x634830Eeca787861B75f07Fe8a5670A362CceC15,"92,490.874150021267576066",0.0092
720,0xfF72007b4aAFDd69d5060975055FB5a811eC5D36,"92,294.281460695011792716",0.0092
721,0x7d932aE8B2bC14C2ff50eB0E0C0f3b96694aB948,"92,090.643227326992607094",0.0092
722,0x63F3732E12b1a0C01256bD6Ce97b3Dfa59835bb9,"92,036.657351445418930849",0.0092
